epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0247,1.09963,3.53705,1.27432,0.00333,1,0.1684,0.10719,0.94959,4.02844,1.15852,8e-05,8e-05,8e-05
2,18.6195,0.86471,3.00417,1.08457,0.00333,1,0.54039,0.38579,0.8832,3.69133,1.04374,0.000176436,0.000176436,0.000176436
3,27.2783,0.89552,2.05093,1.04494,0.84536,0.375,0.74589,0.45843,0.74359,3.36502,0.93978,0.000268912,0.000268912,0.000268912
4,36.0098,0.83472,1.71163,0.99911,1,0.38692,0.86635,0.64532,0.74535,3.27778,0.94891,0.000357428,0.000357428,0.000357428
5,44.6641,0.85819,1.68256,1.08737,0.00333,1,0.77641,0.54658,0.79216,3.36559,0.98301,0.000441984,0.000441984,0.000441984
6,53.04,0.98736,1.90063,1.1019,0.00333,1,0.92071,0.69231,0.70833,3.39137,0.92396,0.00052258,0.00052258,0.00052258
7,61.3981,0.88695,1.49263,1.07002,0.00333,1,0.995,0.72231,0.84375,3.32205,0.9362,0.000599216,0.000599216,0.000599216
8,69.8631,0.73367,1.35188,1.05217,0.00333,1,0.945,0.68678,0.88053,3.31982,0.91928,0.000671892,0.000671892,0.000671892
9,78.2759,0.86882,1.40023,1.07675,1,0.42221,0.88785,0.69325,0.84627,3.15653,0.92545,0.000740608,0.000740608,0.000740608
10,86.8194,0.8278,1.5268,1.01437,1,0.55775,0.82832,0.64669,0.83137,3.17677,0.94742,0.000805364,0.000805364,0.000805364
11,95.5125,0.89703,1.35722,1.08776,0.92167,0.625,0.84437,0.62276,0.72714,3.05278,0.9268,0.00086616,0.00086616,0.00086616
12,104.143,0.87637,1.40026,1.03674,1,0.72114,0.85949,0.71703,0.69007,2.98598,0.91687,0.000922996,0.000922996,0.000922996
13,112.668,0.79747,1.32572,1.00328,0.98083,0.75,0.8595,0.70317,0.7691,2.80846,0.93517,0.000975872,0.000975872,0.000975872
14,121.239,0.76646,1.41514,1.03269,1,0.48045,0.74746,0.65935,0.74017,2.9466,0.92448,0.00102479,0.00102479,0.00102479
15,129.789,0.77659,1.41588,1.05905,1,0.46951,0.74622,0.65947,0.65218,2.89205,0.90878,0.00106974,0.00106974,0.00106974
16,138.218,0.91683,1.44809,1.10139,1,0.62435,0.74619,0.64541,0.7076,2.70584,0.95438,0.00111074,0.00111074,0.00111074
17,146.63,0.86301,1.24771,1.0884,1,0.60077,0.7063,0.60471,0.71426,2.8728,0.99641,0.00114778,0.00114778,0.00114778
18,154.871,0.82987,1.27637,1.0408,1,0.61354,0.63587,0.52295,0.7471,2.81633,0.96367,0.00118085,0.00118085,0.00118085
19,163.151,0.85682,1.43386,1.00256,0.94878,0.625,0.63403,0.52197,0.73645,2.59633,0.95303,0.00120997,0.00120997,0.00120997
20,171.667,0.80158,1.12832,1.01673,1,0.62012,0.63496,0.57006,0.82107,2.53807,1.02583,0.00123512,0.00123512,0.00123512
21,180.009,0.69871,1.03939,0.96384,0.82693,0.60097,0.62177,0.55723,0.68184,2.543,0.93225,0.001208,0.001208,0.001208
22,188.375,0.67174,1.07734,0.94796,0.98047,0.5,0.65259,0.57086,0.68462,2.44598,0.95654,0.0011684,0.0011684,0.0011684
23,196.79,0.79589,1.09484,0.98465,0.74227,0.72294,0.71582,0.59576,0.72763,2.33124,0.97913,0.0011288,0.0011288,0.0011288
24,205.254,0.80344,1.0445,0.97924,1,0.86755,0.98167,0.74784,0.7367,1.82906,1.01525,0.0010892,0.0010892,0.0010892
25,213.68,0.79249,1.04181,0.98723,1,0.87318,0.98167,0.81343,0.62192,1.43216,0.91786,0.0010496,0.0010496,0.0010496
26,221.918,0.60871,0.88438,0.94757,1,0.99491,0.995,0.84479,0.59839,1.28209,0.88706,0.00101,0.00101,0.00101
27,230.148,0.74292,0.9867,0.99526,0.98391,0.875,0.939,0.83145,0.54884,1.44801,0.86656,0.0009704,0.0009704,0.0009704
28,238.512,0.72807,0.96939,0.96348,1,0.86414,0.90026,0.85391,0.48449,1.59543,0.86447,0.0009308,0.0009308,0.0009308
29,246.904,0.67148,0.89019,0.98174,1,0.8597,0.89733,0.81662,0.47807,1.44584,0.85358,0.0008912,0.0008912,0.0008912
30,255.361,0.66907,0.87377,0.94962,0.98855,0.875,0.89733,0.79555,0.51856,1.33735,0.85766,0.0008516,0.0008516,0.0008516
31,263.756,0.65734,0.89855,0.89879,0.98609,0.875,0.905,0.78386,0.55099,1.28472,0.86809,0.000812,0.000812,0.000812
